xbrl_name,formatted_name
Cash,Kas
RestrictedFunds,Dana yang dibatasi penggunaannya
CurrentAccountsWithBankIndonesia,Giro pada Bank Indonesia
CurrentAccountsWithOtherBanksThirdParties,Giro pada bank lain pihak ketiga
CurrentAccountsWithOtherBanksRelatedParties,Giro pada bank lain pihak berelasi
AllowanceForImpairmentLossesForCurrentAccountsWithOtherBanks,Cadangan kerugian penurunan nilai pada giro pada bank lain
PlacementsWithBankIndonesiaAndOtherBanksThirdParties,Penempatan pada Bank Indonesia dan bank lain pihak ketiga
PlacementsWithBankIndonesiaAndOtherBanksRelatedParties,Penempatan pada Bank Indonesia dan bank lain pihak berelasi
AllowanceForImpairmentLossesForPlacementsWithOtherBanks,Cadangan kerugian penurunan nilai pada penempatan pada bank lain
InsuranceReceivablesThirdParties,Piutang asuransi pihak ketiga
InsuranceReceivablesRelatedParties,Piutang asuransi pihak berelasi
AllowanceForImpairmentLossesForInsuranceReceivables,Cadangan kerugian penurunan nilai pada piutang asuransi
DeferredAcquisitionCosts,Biaya akuisisi tangguhan
DepositsToClearingAndSettlementGuaranteeInstitution,Deposito pada lembaga kliring dan penjaminan
MarketableSecuritiesThirdParties,Efek-efek yang diperdagangkan pihak ketiga
MarketableSecuritiesRelatedParties,Efek-efek yang diperdagangkan pihak berelasi
AllowanceForImpairmentLossesForMarketableSecurities,Cadangan kerugian penurunan nilai pada efek-efek yang diperdagangkan
InvestmentsOfPolicyholderInUnitLinkedContracts,Investasi pemegang polis pada kontrak unit-linked
SecuritiesPurchasedUnderAgreementToResale,Efek yang dibeli dengan janji dijual kembali
BillsAndOtherReceivablesThirdParties,Wesel ekspor dan tagihan lainnya pihak ketiga
BillsAndOtherReceivablesRelatedParties,Wesel ekspor dan tagihan lainnya pihak berelasi
AllowanceForImpairmentLossesForBillsAndOtherReceivables,Cadangan kerugian penurunan nilai pada wesel ekspor dan tagihan lainnya
AcceptanceReceivablesThirdParties,Tagihan akseptasi pihak ketiga
AcceptanceReceivablesRelatedParties,Tagihan akseptasi pihak berelasi
AllowanceForImpairmentLossesForAcceptanceReceivables,Cadangan kerugian penurunan nilai pada tagihan akseptasi
DerivativeReceivablesThirdParties,Tagihan derivatif pihak ketiga
DerivativeReceivablesRelatedParties,Tagihan derivatif pihak berelasi
LoansThirdParties,Pinjaman yang diberikan pihak ketiga
LoansRelatedParties,Pinjaman yang diberikan pihak berelasi
AllowanceForImpairmentLossesForLoans,Cadangan kerugian penurunan nilai pada pinjaman yang diberikan
ReceivablesFromClearingAndSettlementGuaranteeInstitution,Piutang dari lembaga kliring dan penjaminan
ReceivablesFromCustomersThirdParties,Piutang nasabah pihak ketiga
ReceivablesFromCustomersRelatedParties,Piutang nasabah pihak berelasi
AllowanceForImpairmentLossesForReceivablesFromCustomers,Cadangan kerugian penurunan nilai pada piutang nasabah
MurabahahReceivablesThirdParties,Piutang murabahah pihak ketiga
MurabahahReceivablesRelatedParties,Piutang murabahah pihak berelasi
AllowanceForImpairmentLossesForMurabahahReceivables,Cadangan kerugian penurunan nilai pada piutang murabahah
IstishnaReceivablesThirdParties,Piutang istishna pihak ketiga
IstishnaReceivablesRelatedParties,Piutang istishna pihak berelasi
AllowanceForImpairmentLossesForIstishnaReceivables,Cadangan kerugian penurunan nilai pada piutang istishna
IjarahReceivablesThirdParties,Piutang ijarah pihak ketiga
IjarahReceivablesRelatedParties,Piutang ijarah pihak berelasi
AllowanceForImpairmentLossesForIjarahReceivables,Cadangan kerugian penurunan nilai pada piutang ijarah
ConsumerFinancingReceivablesThirdParties,Piutang pembiayaan konsumen pihak ketiga
ConsumerFinancingReceivablesRelatedParties,Piutang pembiayaan konsumen pihak berelasi
AllowanceForImpairmentLossesForConsumerFinancingReceivables,Cadangan kerugian penurunan nilai pada piutang pembiayaan konsumen
QardhFundsThirdParties,Pinjaman qardh pihak ketiga
QardhFundsRelatedParties,Pinjaman qardh pihak berelasi
AllowanceForImpairmentLossesForQardhFunds,Cadangan kerugian penurunan nilai pada pinjaman qardh
MudharabahFinancingThirdParties,Pembiayaan mudharabah pihak ketiga
MudharabahFinancingRelatedParties,Pembiayaan mudharabah pihak berelasi
AllowanceForImpairmentLossesForMudharabahFinancing,Cadangan kerugian penurunan nilai pada pembiayaan mudharabah
MusyarakahFinancingThirdParties,Pembiayaan musyarakah pihak ketiga
MusyarakahFinancingRelatedParties,Pembiayaan musyarakah pihak berelasi
AllowanceForImpairmentLossesForMusyarakahFinancing,Cadangan kerugian penurunan nilai pada pembiayaan musyarakah
LeaseInvestmentsThirdParties,Investasi sewa pihak ketiga
LeaseInvestmentsRelatedParties,Investasi sewa pihak berelasi
LeaseInvestmentsGuaranteedResidualValue,Investasi sewa nilai residu yang terjamin
LeaseInvestmentsDeferredFinancingIncome,Investasi sewa pendapatan pembiayaan tangguhan
LeaseInvestmentsGuaranteeDeposits,Investasi sewa simpanan jaminan
AllowanceForImpairmentLossesForLeaseInvestments,Cadangan kerugian penurunan nilai pada investasi sewa
FactoringReceivablesThirdParties,Tagihan anjak piutang pihak ketiga
FactoringReceivablesRelatedParties,Tagihan anjak piutang pihak berelasi
FactoringReceivablesOnDeferredFactoringIncome,Tagihan anjak piutang pada pendapatan anjak piutang tangguhan
AllowanceForImpairmentLossesForFactoringReceivables,Cadangan kerugian penurunan nilai pada tagihan anjak piutang
OtherReceivablesThirdParties,Piutang lainnya pihak ketiga
OtherReceivablesRelatedParties,Piutang lainnya pihak berelasi
AllowanceForImpairmentLossesForOtherReceivables,Cadangan kerugian penurunan nilai pada piutang lainnya
OtherFinancialAssets,Aset keuangan lainnya
GovernmentBonds,Obligasi pemerintah
NonCurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,Aset tidak lancar atau kelompok lepasan diklasifikasikan sebagai dimiliki untuk dijual
NonCurrentAssetsOrDisposalGroupsClassifiedAsHeldForDistributionToOwners,Aset tidak lancar atau kelompok lepasan diklasifikasikan sebagai dimiliki untuk didistribusikan kepada pemilik
Advances,Uang muka
PrepaidExpenses,Biaya dibayar dimuka
Guarantees,Jaminan
PrepaidTaxes,Pajak dibayar dimuka
ClaimsForTaxRefund,Klaim atas pengembalian pajak
DeferredTaxAssets,Aset pajak tangguhan
InvestmentsAccountedForUsingEquityMethod,Investasi yang dicatat dengan menggunakan metode ekuitas
InvestmentsInJointVentures,Investasi pada entitas ventura bersama
InvestmentsInAssociates,Investasi pada entitas asosiasi
ReinsuranceAssets,Aset reasuransi
PostEmploymentBenefitAssets,Aset imbalan pasca kerja
Goodwill,Goodwill
