xbrl_name,formatted_name
TotalLoansGross_RupiahMember_ManufacturingMember,Perindustrian - Rupiah - Total
TotalLoansGross_RupiahMember_ManufacturingMember_CurrentMember,Perindustrian - Rupiah - Lancar
TotalLoansGross_RupiahMember_ManufacturingMember_SpecialMention,Perindustrian - Rupiah - Dalam perhatian khusus
TotalLoansGross_RupiahMember_ManufacturingMember_Substandard,Perindustrian - Rupiah - Kurang lancar
TotalLoansGross_RupiahMember_ManufacturingMember_Doubtful,Perindustrian - Rupiah - Diragukan
TotalLoansGross_RupiahMember_ManufacturingMember_Loss,Perindustrian - Rupiah - Macet
TotalLoansGross_RupiahMember_TradingRestaurantsHotelsMember,"Perdagangan, restoran dan hotel - Rupiah - Total"
TotalLoansGross_RupiahMember_TradingRestaurantsHotelsMember_CurrentMember,"Perdagangan, restoran dan hotel - Rupiah - Lancar"
TotalLoansGross_RupiahMember_TradingRestaurantsHotelsMember_SpecialMention,"Perdagangan, restoran dan hotel - Rupiah - Dalam perhatian khusus"
TotalLoansGross_RupiahMember_TradingRestaurantsHotelsMember_Substandard,"Perdagangan, restoran dan hotel - Rupiah - Kurang lancar"
TotalLoansGross_RupiahMember_TradingRestaurantsHotelsMember_Doubtful,"Perdagangan, restoran dan hotel - Rupiah - Diragukan"
TotalLoansGross_RupiahMember_TradingRestaurantsHotelsMember_Loss,"Perdagangan, restoran dan hotel - Rupiah - Macet"
TotalLoansGross_RupiahMember_AgricultureMember,Pertanian - Rupiah - Total
TotalLoansGross_RupiahMember_AgricultureMember_CurrentMember,Pertanian - Rupiah - Lancar
TotalLoansGross_RupiahMember_AgricultureMember_SpecialMention,Pertanian - Rupiah - Dalam perhatian khusus
TotalLoansGross_RupiahMember_AgricultureMember_Substandard,Pertanian - Rupiah - Kurang lancar
TotalLoansGross_RupiahMember_AgricultureMember_Doubtful,Pertanian - Rupiah - Diragukan
TotalLoansGross_RupiahMember_AgricultureMember_Loss,Pertanian - Rupiah - Macet
TotalLoansGross_RupiahMember_BusinessServicesMember,Jasa dunia usaha - Rupiah - Total
TotalLoansGross_RupiahMember_BusinessServicesMember_CurrentMember,Jasa dunia usaha - Rupiah - Lancar
TotalLoansGross_RupiahMember_BusinessServicesMember_SpecialMention,Jasa dunia usaha - Rupiah - Dalam perhatian khusus
TotalLoansGross_RupiahMember_BusinessServicesMember_Substandard,Jasa dunia usaha - Rupiah - Kurang lancar
TotalLoansGross_RupiahMember_BusinessServicesMember_Doubtful,Jasa dunia usaha - Rupiah - Diragukan
