xbrl_name,formatted_name
TotalLoansGross_RupiahMember_WorkingCapitalMember,Modal kerja - Rupiah - Total
TotalLoansGross_RupiahMember_WorkingCapitalMember_CurrentMember,Modal kerja - Rupiah - Lancar
TotalLoansGross_RupiahMember_WorkingCapitalMember_SpecialMention,Modal kerja - Rupiah - Dalam perhatian khusus
TotalLoansGross_RupiahMember_WorkingCapitalMember_Substandard,Modal kerja - Rupiah - Kurang lancar
TotalLoansGross_RupiahMember_WorkingCapitalMember_Doubtful,Modal kerja - Rupiah - Diragukan
TotalLoansGross_RupiahMember_WorkingCapitalMember_Loss,Modal kerja - Rupiah - Macet
TotalLoansGross_RupiahMember_InvestmentMember,Investasi - Rupiah - Total
TotalLoansGross_RupiahMember_InvestmentMember_CurrentMember,Investasi - Rupiah - Lancar
TotalLoansGross_RupiahMember_InvestmentMember_SpecialMention,Investasi - Rupiah - Dalam perhatian khusus
TotalLoansGross_RupiahMember_InvestmentMember_Substandard,Investasi - Rupiah - Kurang lancar
TotalLoansGross_RupiahMember_InvestmentMember_Doubtful,Investasi - Rupiah - Diragukan
TotalLoansGross_RupiahMember_InvestmentMember_Loss,Investasi - Rupiah - Macet
TotalLoansGross_RupiahMember_SyndicatedMember,Sindikasi - Rupiah - Total
TotalLoansGross_RupiahMember_SyndicatedMember_CurrentMember,Sindikasi - Rupiah - Lancar
TotalLoansGross_RupiahMember_SyndicatedMember_SpecialMention,Sindikasi - Rupiah - Dalam perhatian khusus
TotalLoansGross_RupiahMember_SyndicatedMember_Substandard,Sindikasi - Rupiah - Kurang lancar
TotalLoansGross_RupiahMember_SyndicatedMember_Doubtful,Sindikasi - Rupiah - Diragukan
TotalLoansGross_RupiahMember_SyndicatedMember_Loss,Sindikasi - Rupiah - Macet
TotalLoansGross_RupiahMember_GovernmentProgramsMember,Program pemerintah - Rupiah - Total
TotalLoansGross_RupiahMember_GovernmentProgramsMember_CurrentMember,Program pemerintah - Rupiah - Lancar
TotalLoansGross_RupiahMember_GovernmentProgramsMember_SpecialMention,Program pemerintah - Rupiah - Dalam perhatian khusus
TotalLoansGross_RupiahMember_GovernmentProgramsMember_Substandard,Program pemerintah - Rupiah - Kurang lancar
TotalLoansGross_RupiahMember_GovernmentProgramsMember_Doubtful,Program pemerintah - Rupiah - Diragukan
TotalLoansGross_RupiahMember_GovernmentProgramsMember_Loss,Program pemerintah - Rupiah - Macet
TotalLoansGross_RupiahMember_EmployeeMember,Karyawan - Rupiah - Total
TotalLoansGross_RupiahMember_EmployeeMember_CurrentMember,Karyawan - Rupiah - Lancar
TotalLoansGross_RupiahMember_EmployeeMember_SpecialMention,Karyawan - Rupiah - Dalam perhatian khusus
TotalLoansGross_RupiahMember_EmployeeMember_Substandard,Karyawan - Rupiah - Kurang lancar
TotalLoansGross_RupiahMember_EmployeeMember_Doubtful,Karyawan - Rupiah - Diragukan
TotalLoansGross_RupiahMember_EmployeeMember_Loss,Karyawan - Rupiah - Macet
TotalLoansGross_RupiahMember_ExportMember,Ekspor - Rupiah - Total
