xbrl_name,formatted_name,,,,,,
PurcahsedRawInventory,Pembelian bahan baku,,,,,,
RawInventory,Persediaan bahan baku akhir,,,,,,
RawInventoryUsed,Bahan baku yang digunakan,,,,,,
ServiceCost,Beban jasa,,,,,,
FoodAndBeverage,Makan dan minuman,,,,,,
MaterialUsage,Material,,,,,,
MiningCost,Pertambangan,,,,,,
RoyaltiesToGovernment,Royalti kepada pemerintah,,,,,,
FreightAndHandlingCosts,Pengangkutan dan bongkar muat,,,,,,
MineReclamationAndClosureCosts,Biaya reklamasi dan penutupan tambang,,,,,,
ProjectImplementationCosts,Biaya pelaksanaan proyek,,,,,,
Subcontractor,Subkontraktor,,,,,,
WagesAndDirectLabor,"Upah, tenaga kerja langsung",,,,,,
Amortization,Amortisasi,,,,,,
Depreciation,Depresiasi,,,,,,
RentCost,Sewa,,,,,,
RepairsAndMaintenance,Perbaikan dan pemeliharaan,,,,,,
MiningProductProces,Pemrosesan barang tambang,,,,,,
UtilitiesExpenses,Beban utilitas,,,,,,
FuelExpenses,Beban bahan bakar,,,,,,
OtherManufacturingOverhead,Biaya pabrikasi lainya,,,,,,
ProductionCost,Jumlah biaya produksi,,,,,,
WipInventory,Barang setengah jadi akhir,,,,,,
CostOfGoodsManufactured,Harga pokok produksi,,,,,,
PurcahsedFinishGoodsInventory,Pembelian barang jadi,,,,,,
FinishGoodsInventory,Barang jadi akhir,,,,,,
RealtyAndProperty,Realti dan properti,,,,,,
ConstructionOfCostOfConcessionProject,Biaya konstruksi atas proyek konsesi,,,,,,
Overhead,Biaya overhead lainnya,,,,,,
OtherCostOfGoodSold,Beban pokok pendapatan lainnya,,,,,,
CostOfSalesAndRevenue,Beban pokok penjualan dan pendapatan,,,,,,
