xbrl_name,formatted_name
BankLoanAmountInForeignCurrency_BankCentralAsiaTbkMember_IDRMember,"Bank Central Asia Tbk - IDR - Utang bank, nilai dalam mata uang asing"
DueDateForLogTermBankLoan_BankCentralAsiaTbkMember_IDRMember,Bank Central Asia Tbk - IDR - Jatuh tempo utang bank jangka panjang
InterestRateLongTermBankLoan_BankCentralAsiaTbkMember_IDRMember,Bank Central Asia Tbk - IDR - Bunga utang bank jangka panjang
InterestRateTypeLongTermBankLoan_BankCentralAsiaTbkMember_IDRMember,Bank Central Asia Tbk - IDR - Jenis bunga utang bank jangka panjang
BankLoanAmountInForeignCurrency_BankCentralAsiaTbkMember_AUDMember,"Bank Central Asia Tbk - AUD - Utang bank, nilai dalam mata uang asing"
DueDateForLogTermBankLoan_BankCentralAsiaTbkMember_AUDMember,Bank Central Asia Tbk - AUD - Jatuh tempo utang bank jangka panjang
InterestRateLongTermBankLoan_BankCentralAsiaTbkMember_AUDMember,Bank Central Asia Tbk - AUD - Bunga utang bank jangka panjang
InterestRateTypeLongTermBankLoan_BankCentralAsiaTbkMember_AUDMember,Bank Central Asia Tbk - AUD - Jenis bunga utang bank jangka panjang
BankLoanAmountInForeignCurrency_BankCentralAsiaTbkMember_CADMember,"Bank Central Asia Tbk - CAD - Utang bank, nilai dalam mata uang asing"
DueDateForLogTermBankLoan_BankCentralAsiaTbkMember_CADMember,Bank Central Asia Tbk - CAD - Jatuh tempo utang bank jangka panjang
InterestRateLongTermBankLoan_BankCentralAsiaTbkMember_CADMember,Bank Central Asia Tbk - CAD - Bunga utang bank jangka panjang
InterestRateTypeLongTermBankLoan_BankCentralAsiaTbkMember_CADMember,Bank Central Asia Tbk - CAD - Jenis bunga utang bank jangka panjang
BankLoanAmountInForeignCurrency_BankCentralAsiaTbkMember_CNYMember,"Bank Central Asia Tbk - CNY - Utang bank, nilai dalam mata uang asing"
DueDateForLogTermBankLoan_BankCentralAsiaTbkMember_CNYMember,Bank Central Asia Tbk - CNY - Jatuh tempo utang bank jangka panjang
InterestRateLongTermBankLoan_BankCentralAsiaTbkMember_CNYMember,Bank Central Asia Tbk - CNY - Bunga utang bank jangka panjang
InterestRateTypeLongTermBankLoan_BankCentralAsiaTbkMember_CNYMember,Bank Central Asia Tbk - CNY - Jenis bunga utang bank jangka panjang
BankLoanAmountInForeignCurrency_BankCentralAsiaTbkMember_EURMember,"Bank Central Asia Tbk - EUR - Utang bank, nilai dalam mata uang asing"
DueDateForLogTermBankLoan_BankCentralAsiaTbkMember_EURMember,Bank Central Asia Tbk - EUR - Jatuh tempo utang bank jangka panjang
InterestRateLongTermBankLoan_BankCentralAsiaTbkMember_EURMember,Bank Central Asia Tbk - EUR - Bunga utang bank jangka panjang
InterestRateTypeLongTermBankLoan_BankCentralAsiaTbkMember_EURMember,Bank Central Asia Tbk - EUR - Jenis bunga utang bank jangka panjang
BankLoanAmountInForeignCurrency_BankCentralAsiaTbkMember_HKDMember,"Bank Central Asia Tbk - HKD - Utang bank, nilai dalam mata uang asing"
DueDateForLogTermBankLoan_BankCentralAsiaTbkMember_HKDMember,Bank Central Asia Tbk - HKD - Jatuh tempo utang bank jangka panjang
InterestRateLongTermBankLoan_BankCentralAsiaTbkMember_HKDMember,Bank Central Asia Tbk - HKD - Bunga utang bank jangka panjang
InterestRateTypeLongTermBankLoan_BankCentralAsiaTbkMember_HKDMember,Bank Central Asia Tbk - HKD - Jenis bunga utang bank jangka panjang
BankLoanAmountInForeignCurrency_BankCentralAsiaTbkMember_GBPMember,"Bank Central Asia Tbk - GBP - Utang bank, nilai dalam mata uang asing"
DueDateForLogTermBankLoan_BankCentralAsiaTbkMember_GBPMember,Bank Central Asia Tbk - GBP - Jatuh tempo utang bank jangka panjang
InterestRateLongTermBankLoan_BankCentralAsiaTbkMember_GBPMember,Bank Central Asia Tbk - GBP - Bunga utang bank jangka panjang
