xbrl_name,formatted_name
TotalBankLoanGross_,"Jumlah utang bank, kotor"
UnamortizedBankLoanIssuanceCost_,Biaya penerbitan utang bank yang belum diamortisasi
BankLoans_,"Jumlah utang bank, bersih"
CurrentMaturitiesOfBankLoans_,Liabilitas jangka panjang yang jatuh tempo dalam satu tahun atas utang bank
LongTermBankLoans_,Liabilitas jangka panjang atas utang bank
BankLoanAmountInForeignCurrency_BankCentralAsiaTbkMember_IDRMember,"Bank Central Asia Tbk - IDR - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankCentralAsiaTbkMember_IDRMember,"Bank Central Asia Tbk - IDR - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankCentralAsiaTbkMember_AUDMember,"Bank Central Asia Tbk - AUD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankCentralAsiaTbkMember_AUDMember,"Bank Central Asia Tbk - AUD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankCentralAsiaTbkMember_CADMember,"Bank Central Asia Tbk - CAD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankCentralAsiaTbkMember_CADMember,"Bank Central Asia Tbk - CAD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankCentralAsiaTbkMember_CNYMember,"Bank Central Asia Tbk - CNY - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankCentralAsiaTbkMember_CNYMember,"Bank Central Asia Tbk - CNY - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankCentralAsiaTbkMember_EURMember,"Bank Central Asia Tbk - EUR - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankCentralAsiaTbkMember_EURMember,"Bank Central Asia Tbk - EUR - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankCentralAsiaTbkMember_HKDMember,"Bank Central Asia Tbk - HKD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankCentralAsiaTbkMember_HKDMember,"Bank Central Asia Tbk - HKD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankCentralAsiaTbkMember_GBPMember,"Bank Central Asia Tbk - GBP - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankCentralAsiaTbkMember_GBPMember,"Bank Central Asia Tbk - GBP - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankCentralAsiaTbkMember_JPYMember,"Bank Central Asia Tbk - JPY - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankCentralAsiaTbkMember_JPYMember,"Bank Central Asia Tbk - JPY - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankCentralAsiaTbkMember_SGDMember,"Bank Central Asia Tbk - SGD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankCentralAsiaTbkMember_SGDMember,"Bank Central Asia Tbk - SGD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankCentralAsiaTbkMember_THBMember,"Bank Central Asia Tbk - THB - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankCentralAsiaTbkMember_THBMember,"Bank Central Asia Tbk - THB - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankCentralAsiaTbkMember_USDMember,"Bank Central Asia Tbk - USD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankCentralAsiaTbkMember_USDMember,"Bank Central Asia Tbk - USD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankCentralAsiaTbkMember_OtherCurrencyMember,"Bank Central Asia Tbk - Mata uang lainnya - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankCentralAsiaTbkMember_OtherCurrencyMember,"Bank Central Asia Tbk - Mata uang lainnya - Jumlah utang bank, kotor"
TotalBankLoanGross_BankCentralAsiaTbkMember,"Bank Central Asia Tbk - Total - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankRakyatIndonesiaPerseroTbkMember_IDRMember,"Bank Rakyat Indonesia (Persero) Tbk - IDR - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankRakyatIndonesiaPerseroTbkMember_IDRMember,"Bank Rakyat Indonesia (Persero) Tbk - IDR - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankRakyatIndonesiaPerseroTbkMember_AUDMember,"Bank Rakyat Indonesia (Persero) Tbk - AUD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankRakyatIndonesiaPerseroTbkMember_AUDMember,"Bank Rakyat Indonesia (Persero) Tbk - AUD - Jumlah utang bank, kotor"
BankLoanAmountInForeignCurrency_BankRakyatIndonesiaPerseroTbkMember_CADMember,"Bank Rakyat Indonesia (Persero) Tbk - CAD - Utang bank, nilai dalam mata uang asing"
TotalBankLoanGross_BankRakyatIndonesiaPerseroTbkMember_CADMember,"Bank Rakyat Indonesia (Persero) Tbk - CAD - Jumlah utang bank, kotor"
