xbrl_name,formatted_name
CounterpartyNameTradePayable_Rank1CounterpartyMember_ThirdPartyMember,Pihak ketiga 1 - Nama
TradePayables_Rank1CounterpartyMember_ThirdPartyMember,Pihak ketiga 1 - Jumlah
CounterpartyNameTradePayable_Rank2CounterpartyMember_ThirdPartyMember,Pihak ketiga 2 - Nama
TradePayables_Rank2CounterpartyMember_ThirdPartyMember,Pihak ketiga 2 - Jumlah
CounterpartyNameTradePayable_Rank3CounterpartyMember_ThirdPartyMember,Pihak ketiga 3 - Nama
TradePayables_Rank3CounterpartyMember_ThirdPartyMember,Pihak ketiga 3 - Jumlah
CounterpartyNameTradePayable_Rank4CounterpartyMember_ThirdPartyMember,Pihak ketiga 4 - Nama
TradePayables_Rank4CounterpartyMember_ThirdPartyMember,Pihak ketiga 4 - Jumlah
CounterpartyNameTradePayable_Rank5CounterpartyMember_ThirdPartyMember,Pihak ketiga 5 - Nama
TradePayables_Rank5CounterpartyMember_ThirdPartyMember,Pihak ketiga 5 - Jumlah
CounterpartyNameTradePayable_Rank6CounterpartyMember_ThirdPartyMember,Pihak ketiga 6 - Nama
TradePayables_Rank6CounterpartyMember_ThirdPartyMember,Pihak ketiga 6 - Jumlah
CounterpartyNameTradePayable_Rank7CounterpartyMember_ThirdPartyMember,Pihak ketiga 7 - Nama
TradePayables_Rank7CounterpartyMember_ThirdPartyMember,Pihak ketiga 7 - Jumlah
CounterpartyNameTradePayable_Rank8CounterpartyMember_ThirdPartyMember,Pihak ketiga 8 - Nama
TradePayables_Rank8CounterpartyMember_ThirdPartyMember,Pihak ketiga 8 - Jumlah
CounterpartyNameTradePayable_Rank9CounterpartyMember_ThirdPartyMember,Pihak ketiga 9 - Nama
TradePayables_Rank9CounterpartyMember_ThirdPartyMember,Pihak ketiga 9 - Jumlah
CounterpartyNameTradePayable_Rank10CounterpartyMember_ThirdPartyMember,Pihak ketiga 10 - Nama
TradePayables_Rank10CounterpartyMember_ThirdPartyMember,Pihak ketiga 10 - Jumlah
CounterpartyNameTradePayable_OthersCounterpartyMember_ThirdPartyMember,Pihak ketiga lainnya - Nama
TradePayables_OthersCounterpartyMember_ThirdPartyMember,Pihak ketiga lainnya - Jumlah
TradePayables_1640300_ThirdPartyMember,Pihak ketiga
CounterpartyNameTradePayable_Rank1CounterpartyMember_RelatedPartyMember,Pihak berelasi 1 - Nama
TradePayables_Rank1CounterpartyMember_RelatedPartyMember,Pihak berelasi 1 - Jumlah
CounterpartyNameTradePayable_Rank2CounterpartyMember_RelatedPartyMember,Pihak berelasi 2 - Nama
TradePayables_Rank2CounterpartyMember_RelatedPartyMember,Pihak berelasi 2 - Jumlah
CounterpartyNameTradePayable_Rank3CounterpartyMember_RelatedPartyMember,Pihak berelasi 3 - Nama
TradePayables_Rank3CounterpartyMember_RelatedPartyMember,Pihak berelasi 3 - Jumlah
CounterpartyNameTradePayable_Rank4CounterpartyMember_RelatedPartyMember,Pihak berelasi 4 - Nama
TradePayables_Rank4CounterpartyMember_RelatedPartyMember,Pihak berelasi 4 - Jumlah
CounterpartyNameTradePayable_Rank5CounterpartyMember_RelatedPartyMember,Pihak berelasi 5 - Nama
TradePayables_Rank5CounterpartyMember_RelatedPartyMember,Pihak berelasi 5 - Jumlah
CounterpartyNameTradePayable_Rank6CounterpartyMember_RelatedPartyMember,Pihak berelasi 6 - Nama
TradePayables_Rank6CounterpartyMember_RelatedPartyMember,Pihak berelasi 6 - Jumlah
CounterpartyNameTradePayable_Rank7CounterpartyMember_RelatedPartyMember,Pihak berelasi 7 - Nama
TradePayables_Rank7CounterpartyMember_RelatedPartyMember,Pihak berelasi 7 - Jumlah
CounterpartyNameTradePayable_Rank8CounterpartyMember_RelatedPartyMember,Pihak berelasi 8 - Nama
TradePayables_Rank8CounterpartyMember_RelatedPartyMember,Pihak berelasi 8 - Jumlah
CounterpartyNameTradePayable_Rank9CounterpartyMember_RelatedPartyMember,Pihak berelasi 9 - Nama
TradePayables_Rank9CounterpartyMember_RelatedPartyMember,Pihak berelasi 9 - Jumlah
CounterpartyNameTradePayable_Rank10CounterpartyMember_RelatedPartyMember,Pihak berelasi 10 - Nama
TradePayables_Rank10CounterpartyMember_RelatedPartyMember,Pihak berelasi 10 - Jumlah
CounterpartyNameTradePayable_OthersCounterpartyMember_RelatedPartyMember,Pihak berelasi lainnya - Nama
TradePayables_OthersCounterpartyMember_RelatedPartyMember,Pihak berelasi lainnya - Jumlah
TradePayables_1640300_RelatedPartyMember,Pihak berelasi
