xbrl_name,formatted_name
TradeReceivablesGross_NotYetDueMember,Belum jatuh tempo
TradeReceivablesGross_OneToThirtyDaysMember_OverdueMember,Telah jatuh tempo 1 - 30 hari
TradeReceivablesGross_OneToSixtyDaysMember_OverdueMember,Telah jatuh tempo 1 - 60 hari
TradeReceivablesGross_OneToNinetyDaysMember_OverdueMember,Telah jatuh tempo 1 - 90 hari
TradeReceivablesGross_OneToOneHundredEightyDaysMember_OverdueMember,Telah jatuh tempo 1 - 180 hari
TradeReceivablesGross_OneToThreeHundredSixtyDaysMember_OverdueMember,Telah jatuh tempo 1 - 360 hari
TradeReceivablesGross_ThirtyOneToSixtyDaysMember_OverdueMember,Telah jatuh tempo 31 - 60 hari
TradeReceivablesGross_SixtyOneToNinetyDaysMember_OverdueMember,Telah jatuh tempo 61 - 90 hari
TradeReceivablesGross_SixtyOneToOneHundredTwentyDaysMember_OverdueMember,Telah jatuh tempo 61 - 120 hari
TradeReceivablesGross_NinetyOneToOneHundredTwentyDaysMember_OverdueMember,Telah jatuh tempo 91 - 120 hari
TradeReceivablesGross_NinetyOneToOneHundredEightyDaysMember_OverdueMember,Telah jatuh tempo 91 - 180 hari
TradeReceivablesGross_OneHundredTwentyOneToOneHundredFiftyDaysMember_OverdueMember,Telah jatuh tempo 121 - 150 hari
TradeReceivablesGross_OneHundredTwentyOneToOneHundredEightyDaysMember_OverdueMember,Telah jatuh tempo 121 - 180 hari
TradeReceivablesGross_OneHundredFiftyOneToOneHundredEightyDaysMember_OverdueMember,Telah jatuh tempo 151 - 180 hari
TradeReceivablesGross_OneHundredEightyOneToTwoHundredSeventyDaysMember_OverdueMember,Telah jatuh tempo 181 - 270 hari
TradeReceivablesGross_OneHundredEightyOneToThreeHundredSixtyDaysMember_OverdueMember,Telah jatuh tempo 181 - 360 hari
TradeReceivablesGross_TwoHundredSeventyOneToThreeHundredSixtyDaysMember_OverdueMember,Telah jatuh tempo 271 - 360 hari
TradeReceivablesGross_ThreeHundredSixtyOneToFiveHundredFourtyDaysMember_OverdueMember,Telah jatuh tempo 361 - 540 hari
TradeReceivablesGross_ThreeHundredSixtyOneToSevenHundredTwentyDaysMember_OverdueMember,Telah jatuh tempo  361 - 720 hari
TradeReceivablesGross_FiveHundredFourtyOneToSevenHundredTwentyDaysMember_OverdueMember,Telah jatuh tempo 541 - 720 hari
TradeReceivablesGross_SevenHundredTwentyOneToOneThousandEightyDaysMember_OverdueMember,Telah jatuh tempo 721 - 1.080 hari
TradeReceivablesGross_MoreThanThirtyDaysMember_OverdueMember,Telah jatuh tempo Lebih dari 30 hari
TradeReceivablesGross_MoreThanSixtyDaysMember_OverdueMember,Telah jatuh tempo Lebih dari 60 hari
TradeReceivablesGross_MoreThanNinetyDaysMember_OverdueMember,Telah jatuh tempo Lebih dari 90 hari
TradeReceivablesGross_MoreThanOneHundredTwentyDaysMember_OverdueMember,Telah jatuh tempo Lebih dari 120 hari
TradeReceivablesGross_MoreThanOneHundredFiftyDaysMember_OverdueMember,Telah jatuh tempo Lebih dari 150 hari
TradeReceivablesGross_MoreThanOneHundredEightyDaysMember_OverdueMember,Telah jatuh tempo Lebih dari 180 hari
TradeReceivablesGross_MoreThanTwoHundredSeventyDaysMember_OverdueMember,Telah jatuh tempo Lebih dari 270 hari
TradeReceivablesGross_MoreThanThreeHundredSixtyDaysMember_OverdueMember,Telah jatuh tempo Lebih dari 360 hari
TradeReceivablesGross_MoreThanFiveHundredFourtyDaysMember_OverdueMember,Telah jatuh tempo Lebih dari 540 hari
TradeReceivablesGross_MoreThanSevenHundredTwentyDaysMember_OverdueMember,Telah jatuh tempo Lebih dari 720 hari
TradeReceivablesGross_OverdueMember,Telah jatuh tempo
TradeReceivablesGross_,Piutang usaha - Kotor
AllowanceForImpairmentOfTradeReceivables_,Penyisihan penurunan nilai piutang usaha
TradeReceivablesNet_,Piutang usaha
