xbrl_name,formatted_name
CounterpartyName_Rank1CounterpartyMember_ThirdPartyMember,Pihak ketiga 1 - Nama
TradeReceivablesGross_Rank1CounterpartyMember_ThirdPartyMember,Pihak ketiga 1 - Jumlah
CounterpartyName_Rank2CounterpartyMember_ThirdPartyMember,Pihak ketiga 2 - Nama
TradeReceivablesGross_Rank2CounterpartyMember_ThirdPartyMember,Pihak ketiga 2 - Jumlah
CounterpartyName_Rank3CounterpartyMember_ThirdPartyMember,Pihak ketiga 3 - Nama
TradeReceivablesGross_Rank3CounterpartyMember_ThirdPartyMember,Pihak ketiga 3 - Jumlah
CounterpartyName_Rank4CounterpartyMember_ThirdPartyMember,Pihak ketiga 4 - Nama
TradeReceivablesGross_Rank4CounterpartyMember_ThirdPartyMember,Pihak ketiga 4 - Jumlah
CounterpartyName_Rank5CounterpartyMember_ThirdPartyMember,Pihak ketiga 5 - Nama
TradeReceivablesGross_Rank5CounterpartyMember_ThirdPartyMember,Pihak ketiga 5 - Jumlah
CounterpartyName_Rank6CounterpartyMember_ThirdPartyMember,Pihak ketiga 6 - Nama
TradeReceivablesGross_Rank6CounterpartyMember_ThirdPartyMember,Pihak ketiga 6 - Jumlah
CounterpartyName_Rank7CounterpartyMember_ThirdPartyMember,Pihak ketiga 7 - Nama
TradeReceivablesGross_Rank7CounterpartyMember_ThirdPartyMember,Pihak ketiga 7 - Jumlah
CounterpartyName_Rank8CounterpartyMember_ThirdPartyMember,Pihak ketiga 8 - Nama
TradeReceivablesGross_Rank8CounterpartyMember_ThirdPartyMember,Pihak ketiga 8 - Jumlah
CounterpartyName_Rank9CounterpartyMember_ThirdPartyMember,Pihak ketiga 9 - Nama
TradeReceivablesGross_Rank9CounterpartyMember_ThirdPartyMember,Pihak ketiga 9 - Jumlah
CounterpartyName_Rank10CounterpartyMember_ThirdPartyMember,Pihak ketiga 10 - Nama
TradeReceivablesGross_Rank10CounterpartyMember_ThirdPartyMember,Pihak ketiga 10 - Jumlah
CounterpartyName_OthersCounterpartyMember_ThirdPartyMember,Pihak ketiga lainnya - Nama
TradeReceivablesGross_OthersCounterpartyMember_ThirdPartyMember,Pihak ketiga lainnya - Jumlah
TradeReceivablesGross_1620300_ThirdPartyMember,Pihak ketiga - Kotor
AllowanceForImpairmentOfTradeReceivables_ThirdPartyMember_1,Pihak ketiga - Penyisihan penurunan nilai piutang usaha
TradeReceivablesNet_ThirdPartyMember_1,Pihak ketiga
CounterpartyName_Rank1CounterpartyMember_RelatedPartyMember,Pihak berelasi 1 - Nama
TradeReceivablesGross_Rank1CounterpartyMember_RelatedPartyMember,Pihak berelasi 1 - Jumlah
CounterpartyName_Rank2CounterpartyMember_RelatedPartyMember,Pihak berelasi 2 - Nama
TradeReceivablesGross_Rank2CounterpartyMember_RelatedPartyMember,Pihak berelasi 2 - Jumlah
CounterpartyName_Rank3CounterpartyMember_RelatedPartyMember,Pihak berelasi 3 - Nama
TradeReceivablesGross_Rank3CounterpartyMember_RelatedPartyMember,Pihak berelasi 3 - Jumlah
CounterpartyName_Rank4CounterpartyMember_RelatedPartyMember,Pihak berelasi 4 - Nama
TradeReceivablesGross_Rank4CounterpartyMember_RelatedPartyMember,Pihak berelasi 4 - Jumlah
CounterpartyName_Rank5CounterpartyMember_RelatedPartyMember,Pihak berelasi 5 - Nama
TradeReceivablesGross_Rank5CounterpartyMember_RelatedPartyMember,Pihak berelasi 5 - Jumlah
CounterpartyName_Rank6CounterpartyMember_RelatedPartyMember,Pihak berelasi 6 - Nama
TradeReceivablesGross_Rank6CounterpartyMember_RelatedPartyMember,Pihak berelasi 6 - Jumlah
CounterpartyName_Rank7CounterpartyMember_RelatedPartyMember,Pihak berelasi 7 - Nama
TradeReceivablesGross_Rank7CounterpartyMember_RelatedPartyMember,Pihak berelasi 7 - Jumlah
CounterpartyName_Rank8CounterpartyMember_RelatedPartyMember,Pihak berelasi 8 - Nama
TradeReceivablesGross_Rank8CounterpartyMember_RelatedPartyMember,Pihak berelasi 8 - Jumlah
CounterpartyName_Rank9CounterpartyMember_RelatedPartyMember,Pihak berelasi 9 - Nama
TradeReceivablesGross_Rank9CounterpartyMember_RelatedPartyMember,Pihak berelasi 9 - Jumlah
CounterpartyName_Rank10CounterpartyMember_RelatedPartyMember,Pihak berelasi 10 - Nama
TradeReceivablesGross_Rank10CounterpartyMember_RelatedPartyMember,Pihak berelasi 10 - Jumlah
CounterpartyName_OthersCounterpartyMember_RelatedPartyMember,Pihak berelasi lainnya - Nama
TradeReceivablesGross_OthersCounterpartyMember_RelatedPartyMember,Pihak berelasi lainnya - Jumlah
TradeReceivablesGross_1620300_RelatedPartyMember,Pihak berelasi - Kotor
AllowanceForImpairmentOfTradeReceivables_RelatedPartyMember_1,Pihak berelasi - Penyisihan penurunan nilai piutang usaha
TradeReceivablesNet_RelatedPartyMember_1,Pihak berelasi
